,107,246,329,335,367,489,698,732,766,860,864,976,986,1034,1072,1187,1232,1300,1304,1369
index,bachelor,college,degree,denton,doctoral,focus,large,locate,master,offer,one,program,public,research,school,student,texas,university,unt,within
0,0.22187437950389383,0.16955547446662886,0.18729346427264157,0.22187437950389383,0.22187437950389383,0.2065720807410982,0.14110804190516346,0.19571492698526133,0.19571492698526133,0.15753699485332803,0.15123235491775264,0.18729346427264157,0.16955547446662886,0.1280937231852008,0.22187437950389383,0.15425317570383326,0.4131441614821964,0.4233241257154904,0.22187437950389383,0.22187437950389383
